item, calories,fats, carbs, protein
Tasty Bite Lentils Madras - 10 Oz,150,  6g,  5g,  6g
Signature SELECT Beans Lima Large - 16 Oz,100,  0.5g,  22g,  1g
El Mexicano Lentils - 1 Lb,70,  0g,  9g,  8g
Pereg Lentils Orange - 16 Oz,662,  4g,  21g,  48g
Signature SELECT Beans White Small Dry - 16 Oz,80,  1g,  21g,  0g
truRoots Organic Lentils Green Sprouted - 10 Oz,140,  1g,  7g,  10g
Pereg Lentils Autumn Blend - 16 Oz,353,  1g,  30g,  26g
Annies Macaroni & Cheese Sauce Deluxe Rich & Creamy Shells & Classic Cheddar - 2-2.6 Oz,240,  7g,  36g,  0g
El Mexicano Beans Pinto - 2 Lb,60,  0g,  14g,  7g
Panda Express Sauce Orange - 20.75 Oz,70,  0g,  0g,  0g
Kikkoman Soy Sauce Lite - 20 Fl. Oz.,10,  0g,  0g,  1g
Huy Fong Chili Sauce Hot Sriracha - 28 Oz,0,  0g,  <1g,  1g
Mae Ploy Sauce Chili Sweet - 25 Fl. Oz.,70,  0g,  1g,  0g
Dynasty Sesame Seed Oil - 5 Fl. Oz.,130,  14g,  0g,  0g
Lee Kum Kee Sauce Hoisin - 20 Oz,90,  1g,  20g,  20g
Thai Kitchen Paste Curry Red - 4 Oz,5,  0g,  0g,  0g
Lotus Foo Pad Thai Ndls Org Trditnl - 8 Oz,200,  1g,  45g,  0g
Kikkoman Soy Sauce Lite - 40 Fl. Oz.,10,  0g,  0g,  1g
Huy Fong Chili Sauce Hot Sriracha - 17 Oz,0,  0g,  0g,  0g
Signature SELECT Oil Sesame - 5 Fl. Oz.,120,  14g,  0g,  0g
Kikkoman Rice Vinegar - 10 Fl. Oz.,0,  0g,  0g,  0g
Open Nature Seaweed 100% Natural - .17 Oz,30,  2g,  1g,  0g
Hapi Wasabi Peas Hot - 9.9 Oz,130,  4g,  1g,  4g
Huy Fong Chili Sauce Vietnam Garlic - 18 Oz,0,  0g,  0g,  0g
S&B Golden Curry Mx Med - 3.2 Oz,90,  4.5g,  10g,  0g
Kikkoman Sauce Stir Fry - 12.1 Oz,20,  0g,  0g,  <1g
Huy Fong Sauce Vienam Garlic Chili - 8 Oz,0,  0g,  0g,  0g
Dynasty Hoisin Sauce - 7 Oz,50,  1g,  0g,  1g
Glico Pocky Biscuit Sticks Chocolate - 1.41 Oz,190,  7g,  2g,  4g
House Of Tsang Dipping Sauce Peanut Sauce Bangkok Padang - 11.5 Oz,80,  5g,  0g,  1g
Feel Good Foods Potstickers Chicken - 10 Oz,150,  4g,  21g,  5g
JFC Sesame Seeds - 7 Oz,0,  0g,  4g,  0g
Huy Fong Chili Paste - 18 Oz,0,  0g,  0g,  0g
Kikkoman Specialty Food Aji Mirin Southwest Rice Wine - 10 Fl. Oz.,70,  0g,  0g,  0g
Panda Express Kung Pao Sauce - 12 Oz,25,  0g,  0g,  0g
Kikkoman Soy Sauce - 40 Fl. Oz.,10,  0g,  0g,  2g
Bragg Liquid Aminos All Purpose Seasoning All Natural - 16 Fl. Oz.,0,  0g,  0g,  0.5g
Bibigo Sauce Hot Sweet Gochujang - 11.5 Oz,90,  0.5g,  0g,  1g
Bibigo BBQ Sauce Korean Original - 16.9 Oz,22,  0g,  0g,  0g
